emp_no,first_name,last_name,title,from_date,to_date
10001,Georgi,Facello,Senior Engineer,6/26/1986,1/1/9999
10004,Chirstian,Koblick,Engineer,12/1/1986,12/1/1995
10004,Chirstian,Koblick,Senior Engineer,12/1/1995,1/1/9999
10009,Sumant,Peac,Assistant Engineer,2/18/1985,2/18/1990
10009,Sumant,Peac,Engineer,2/18/1990,2/18/1995
10009,Sumant,Peac,Senior Engineer,2/18/1995,1/1/9999
10018,Kazuhide,Peha,Engineer,4/3/1987,4/3/1995
10018,Kazuhide,Peha,Senior Engineer,4/3/1995,1/1/9999
10035,Alain,Chappelet,Engineer,9/5/1988,9/5/1996
10035,Alain,Chappelet,Senior Engineer,9/5/1996,1/1/9999
10053,Sanjiv,Zschoche,Senior Staff,11/13/1994,1/1/9999
10058,Berhard,McFarlin,Senior Staff,4/25/1988,1/1/9999
10066,Kwee,Schusler,Assistant Engineer,2/26/1986,2/26/1992
10066,Kwee,Schusler,Engineer,2/26/1992,2/25/1998
10066,Kwee,Schusler,Senior Engineer,2/25/1998,1/1/9999
10067,Claudi,Stavenow,Engineer,3/4/1987,3/3/1996
10067,Claudi,Stavenow,Senior Engineer,3/3/1996,1/1/9999
10070,Reuven,Garigliano,Technique Leader,10/14/1985,1/1/9999
10072,Hironoby,Sidou,Engineer,5/21/1989,5/21/1995
10072,Hironoby,Sidou,Senior Engineer,5/21/1995,1/1/9999
10076,Erez,Ritzmann,Senior Engineer,7/15/1996,1/1/9999
10088,Jungsoon,Syrzycki,Senior Staff,9/2/1993,1/1/9999
10088,Jungsoon,Syrzycki,Staff,9/2/1988,9/2/1993
10100,Hironobu,Haraldson,Senior Staff,9/21/1994,1/1/9999
10100,Hironobu,Haraldson,Staff,9/21/1987,9/21/1994
10103,Akemi,Birch,Engineer,1/12/1998,1/1/9999
10126,Kayoko,Valtorta,Senior Staff,9/8/1991,1/1/9999
10126,Kayoko,Valtorta,Staff,9/8/1985,9/8/1991
10129,Armond,Peir,Technique Leader,1/16/1996,1/1/9999
10130,Nishit,Casperson,Senior Engineer,6/21/1988,1/1/9999
10134,Diederik,Siprelle,Engineer,12/12/1987,12/12/1994
10134,Diederik,Siprelle,Senior Engineer,12/12/1994,1/1/9999
10138,Perry,Shimshoni,Engineer,3/3/1992,3/3/2001
